"項次,N,10,0","年度,N,10,0","名稱,C,254","縣市,C,254","鄉鎮,C,254","村里,C,254","地標,C,254","誘因,C,254","壩體X_TW,N,10,0","壩體Y_TW,N,10,0","崩塌X_TW,N,10,0","崩塌Y_TW,N,10,0","事件,C,254","形成時間,C,254","持續時間(日),C,254","蓄水量(萬立方公尺),N,19,11",潰決時間,潰決原因,"存續狀態,C,254",坐落區位
63,2021,花蓮豐坪溪上游 ,花蓮縣,卓溪鄉,立山村, (玉里第27林班),,276191,2599287,276310,2599304,,2021/11/6,633,7.50,,,消失,林班地
64,2022,臺東新武呂溪,臺東縣,海端鄉,霧鹿村,關山第13林班與山坡地交界,降雨,255556,2562233,255502,2562230,,2022/11/20,243,8.60,,,消失,山坡地
65,2024,花蓮萬里溪,花蓮縣,萬榮鄉,萬榮村,(林田山第78林班),,279861,2630484,279877,2630378,,2024/3/13,134,55.00,,,消失,林班地
66,2024,花蓮木瓜溪 ,花蓮縣,秀林鄉,銅門村,(木瓜山57林班),地震,288508,2656067,288424,2655891,0403強震,2024/4/14,107,43.00,,,消失,林班地
67,2024,屏東率芒溪,屏東縣,春日鄉,士文村,,颱風,216259,2474822,216277,2475040,山陀兒颱風,2024/10/5,9,3.70,,,消失,山坡地
68,2024,新竹泰崗溪,新竹縣,尖石鄉,玉峰村,(大溪第114林班),颱風,284909,2717558,285304,2717542,康芮颱風,2024/11/2,持續至今,27.00,,,存在(監測中),林班地
69,2025,花蓮樂樂溪,花蓮縣,卓溪鄉,卓溪村,(秀姑巒第8林班),地震,266274,2586467,265282,2586988,0121地震,2025/1/25,143,8.60,2025/06/17,,消失,林班地
70,2025,雲林清水溪(草嶺),雲林縣,古坑鄉,草嶺村,,颱風,216173,2608410,216812,2609049,丹娜絲颱風,2025/7/8,2,"1,400.00",2025/07/10,溢流沖刷,消失,河川
71,2025,花蓮馬太鞍溪,花蓮縣,萬榮鄉,明利村,(林田山第118林班),颱風,280340,2621899,280002,2624183,薇帕颱風,2025/7/21,64,"9,100.00",2025/09/23,溢流沖刷,監測中,林班地
72,2025,花蓮立霧溪(燕子口),花蓮縣,秀林鄉,富世村,(燕子口、立霧溪第20林班),,306811,2674313,306759,2674314,,2025/10/17,9,190.00,2025/10/26,機具開挖,消失,林班地
73,2026,南投合歡溪,南投縣,仁愛鄉,力行村,合歡溪步道大約3.5公里處(大甲溪事業區第82林班),,275374,2672997,275327,2672937,4/7連日降雨,2026/04/07,56,4.00,,溢流道開挖、壩體降挖及湖區土方回填,消失,林班地
74,2026,加走寮溪,南投縣,竹山鄉,大鞍村,發生於加走寮溪，瑞龍瀑布園區,降雨,219263,2617702,219263,2617702,0612-0613連日降雨,2026/06/13,,10.00,,已形成溢流道並穩定溢流,存在(監測中),山坡地
75,2026,花蓮萬里溪,花蓮縣,萬榮鄉,萬榮村,,微地動 / 多起崩塌事件,277470,2632018,277470,2632018,,2026/06/20,,0.00,,,存在(監測中),林班地
註：原90處堰塞湖資料，後經由航遙測影像、DEM資料與歷史影像平台之歷史照片等比對分析，其中17處為無影像資訊、無河道阻塞跡象、規模極小者等已刪除。(更新時間1150610),,,,,,,,,,,,,,,,,,,
